,Article_ID,Date,wordCount,Source
208,Batch 01 - BBC  - 1560,14 May 2024,390,BBC
209,Batch 01 - BBC  - 821,09 January 2024,1129,BBC
210,Batch 01 - BBC  - 1383,19 June 2024,940,BBC
211,Batch 01 - BBC  - 193,14 October 2023,618,BBC
212,6D3S-0ST1-JBSS-S17S-00000-00,03 October 2024,908,CNN Wire
213,69CJ-XN41-JBSS-S02C-00000-00,12 October 2023,1250,CNN Wire
214,Batch 01 - BBC  - 561,20 December 2023,822,BBC
215,Batch 02 - BBC  - 2098,05 October 2024,1012,BBC
216,Batch 01 - BBC  - 1912,23 January 2024,977,BBC
217,Batch 02 - BBC  - 2063,30 September 2024,871,BBC
218,6BFG-7CV1-JBSS-S00X-00000-00,29 February 2024,904,CNN Wire
219,Batch 01 - BBC  - 1369,14 October 2023,65,BBC
220,69RS-NCF1-JBSS-S000-00000-00,29 November 2023,992,CNN Wire
221,69V3-F3G1-JBG3-6543-00000-00,09 December 2023,512,The New York Times
222,6BWH-7X71-DY7V-G001-00000-00,26 April 2024,723,CNN Wire
223,6BFD-D971-F03R-N2R2-00000-00,29 February 2024,743,Al Jazeera English
224,69SF-5MS1-JCMN-Y3H2-00000-00,02 December 2023,754,Al Jazeera English
225,Batch 01 - BBC  - 1253,02 November 2023,700,BBC
226,69F9-X0R1-JCMN-Y3TX-00000-00,20 October 2023,867,Al Jazeera English
227,Batch 01 - BBC  - 1940,27 April 2024,1070,BBC
228,Batch 01 - BBC  - 705,13 October 2023,819,BBC
229,69GC-JPG1-JCMN-Y4NG-00000-00,25 October 2023,855,Al Jazeera English
230,69CR-G061-JCMN-Y17V-00000-00,13 October 2023,691,Al Jazeera English
231,Batch 01 - BBC  - 1267,20 November 2023,100,BBC
232,69P2-BYN1-JBSS-S0X6-00000-00,24 October 2023,1424,CNN Wire
233,Batch 01 - BBC  - 2,08 November 2023,44,BBC
234,Batch 01 - BBC  - 465,22 March 2024,86,BBC
235,6BH4-NT31-F03R-N0PT-00000-00,08 March 2024,1266,Al Jazeera English
236,6C4M-0351-JBG3-60P6-00000-00,29 May 2024,444,The New York Times
237,69HW-DD11-F03R-N4CF-00000-00,01 November 2023,723,Al Jazeera English
238,69GD-8751-JBG3-61HY-00000-00,25 October 2023,999,The New York Times
239,6BWS-K4M1-DXY4-X0N8-00000-00,27 April 2024,1022,The New York Times
240,Batch 01 - BBC  - 63,08 November 2023,2998,BBC
241,69CK-B711-JBSS-S04T-00000-00,12 October 2023,1238,CNN Wire
242,Batch 01 - BBC  - 488,07 December 2023,75,BBC
243,Batch 01 - BBC  - 967,17 April 2024,1215,BBC
244,6CG6-4VV1-JCMN-Y001-00000-00,13 July 2024,792,Al Jazeera English
245,Batch 01 - BBC  - 951,02 December 2023,993,BBC
246,Batch 01 - BBC  - 326,28 October 2023,148,BBC
247,69HC-G4S1-F03R-N001-00000-00,30 October 2023,1314,Al Jazeera English
